Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,domain scoped,701,702,confirm the identity of a user whenever a user requests services from cloud servers,43,50,204 202 404
101,an open stack service,55,58,directory access protocol,547,549,503 405 301
101,OpenStack service,336,339,an abstraction used by other open stack services to group and isolate resources such as servers and images,80,93,405 105 304
101,to determine which user is authenticating,887,892,to be the registry of projects and to articulate who should have access to those projects,93,102,503 405 204
101,the user or user group has some kind of access to resources in the project,115,126,that the user or user group has some kind of access to resources in the project,115,126,104 303 304
101,"a collection of users, groups and projects",138,143,"a collection of users, groups and projects. Domains enable the resources to be divided on the cloud into silos that can be used by organizations. A domain serves as a logical division between different portions of an enterprise. In short, a domain represents completely separate enterprises",138,162,404 103 503
101,lightweight directory access protocol,544,549,"identity? The identity service in Keystone provides the actors identities in the cloud. Identities in the cloud may come from various locations such as SQL, LDAP, and Federated identity providers. Let us understand SQL. Keystone includes the option to store actors, that is the users and groups in SQL",417,453,103 503 502
101,A domain,135,138,Keystone is to be the registry of projects and to articulate who should have access to those projects. Users or groups of users are given access to a project using the concept of role assignments. A role assigned to a user or user group on a project denotes that the user or user group has some kind of access to resources in the project. And the specific rule determines the type of access and capabilities the user or user group is entitled to have. What is a domain? A domain,93,138,103 503 302
101,collection of users,207,209,The Federated users will have their attributes mapped into group based role assignments,722,730,302 103 201
101,individuals who use the cloud,210,215,the individuals who use the cloud,210,215,503 104 103
101,Users and groups,212,218,the users and groups in SQL,447,453,103 503 502
101,ephemeral,722,724,the entities to which the role is assigned to,218,224,302 103 503
101,user or user group,113,118,"Users and groups are collectively referred to as actors. As these are the entities to which the role is assigned to. Here we understand the diagrammatic representation between the domain, the users, groups and projects. So a domain would basically consist of users, groups and projects. Domains could map into the roles. What is a role? Roles are used in Keystone to convey authorization. What is assignment? A role assignment is a ternary or triple relationship",212,262,502 404 104
101,convey authorization,249,252,denotes that the user or user group has some kind of access to resources in the project,115,126,303 104 204
101,a ternary or triple relationship,256,262,a ternary or triple relationship.,256,262,304 105 405
101,left hand key and rules refer to the right hand value,1005,1010,Targets refer to the left hand key and rules refer to the right hand value,1002,1010,204 304 404
