Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,Authentication is an important topic in cloud computing security.,27,35,Authentication is an important topic in cloud computing security.,27,35,204 202 404
101,"an open stack service that provides API client authentication, service discovery. And distributed multi tenant authorization by implementing the Openstax identity API.",55,69,"Keystone is an open stack service that provides API client authentication, service discovery. And distributed multi tenant authorization by implementing the Openstax identity API.",52,69,503 405 301
101,an abstraction used by other open stack services to group and isolate resources such as servers and images.,80,93,a project is an abstraction used by other open stack services to group and isolate resources such as servers and images.,80,93,405 105 304
101,to be the registry of projects and to articulate who should have access to those projects.,93,102,to be the registry of projects and to articulate who should have access to those projects.,93,102,503 405 204
101,some kind of access to resources in the project.,118,126,that the user or user group has some kind of access to resources in the project.,115,126,104 303 304
101,"a collection of users, groups and projects.",138,143,"A domain is defined as a collection of users, groups and projects.",135,143,404 103 503
101,Users and user groups are the entities that give access to resources,196,204,Users and user groups are the entities that give access to resources that are isolated in domains and projects.,196,207,103 503 502
101,Groups,204,207,a domain?,135,138,103 503 302
101,collection of users.,207,209,Groups are collection of users.,204,209,302 103 201
101,individuals who use the cloud.,210,215,the individuals who use the cloud.,210,215,503 104 103
101,Users and groups,212,218,Users and groups are collectively referred to as actors. As these are the entities to which the role is assigned to.,212,224,103 503 502
101,Groups are collection of users. Users are the individuals who use the cloud. Users and groups are collectively referred to as actors.,204,221,Groups are collection of users. Users are the individuals who use the cloud. Users and groups are collectively referred to as actors.,204,221,302 103 503
101,Users and groups,212,218,Users and groups are collectively referred to as actors.,212,221,502 404 104
101,access control,976,979,access control that is an RBAC policy that is enforced on each public API endpoint.,976,984,303 104 204
101,What is assignment? A role assignment,254,259,What is assignment? A role assignment is a ternary or triple relationship.,254,262,304 105 405
101,refer to the left hand key and rules refer to the right hand value.,1005,1010,Targets refer to the left hand key and rules refer to the right hand value.,1002,1010,204 304 404
