Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,let us understand authentication in the cloud. The objectives we set out are we try to understand authentication. Then we move ahead to understand the Keystone attributes,8,24,let us understand authentication in the cloud. The objectives we set out are we try to understand authentication. Then we move ahead to understand the Keystone attributes in terms of authentication. What do we mean by authentication? Authentication is an important topic in cloud computing security. The authentication process serves as a protection mechanism against different sorts of attacks. Where the goal is to confirm the identity of a user whenever a user requests services from cloud servers. What is keystone? Keystone is an open stack service,8,58,
101,identity provider for customers,473,476,the identity provider for customers,473,476,
101,an abstraction used by other open stack services to group and isolate resources such as servers and images,80,93,an abstraction used by other open stack services to group and isolate resources such as servers and images,80,93,
101,the registry of projects,93,98,to be the registry of projects and to articulate who should have access to those projects,93,102,
101,the user or user group has some kind of access to resources in the project,115,126,that the user or user group has some kind of access to resources in the project,115,126,
101,"a collection of users, groups and projects",138,143,"a collection of users, groups and projects. Domains enable the resources to be divided on the cloud into silos that can be used by organizations. A domain serves as a logical division between different portions of an enterprise. In short, a domain represents completely separate enterprises",138,162,204
101,What,193,195,"Domains enable the resources to be divided on the cloud into silos that can be used by organizations. A domain serves as a logical division between different portions of an enterprise. In short, a domain represents completely separate enterprises. For example, a cloud could have two domains. One of it, which would be occupied by the IBM organization and the other domain could be occupied by the Oracle organization. In the Ibms domain, IBM has its own collection of groups, users and project. So for the Oracle organizations, domain would have. What",141,195,204
101,Groups,204,207,Users and user groups are the entities that give access to resources that are isolated in domains and projects. Groups,196,207,
101,collection of users,207,209,the entities that give access to resources that are isolated in domains and projects. Groups are collection of users,196,209,504 105
101,individuals who use the cloud,210,215,Users are the individuals who use the cloud,210,215,
101,users and groups in SQL,447,453,the users and groups in SQL,447,453,
101,the entities to which the role is assigned to,218,224,the entities to which the role is assigned to.,218,224,105 504
101,a ternary or triple relationship,256,262,"a ternary or triple relationship. The combination of an actor, a target and a role. Role assignments are granted or revoked and may be inherited between groups and users and domains and projects. What are targets? Projects and domains",256,282,
101,a ternary or triple relationship,256,262,a ternary or triple relationship.,256,262,
101,a ternary or triple relationship,256,262,a ternary or triple relationship.,256,262,304
101,granted or revoked and may be inherited between groups and users and domains and projects,264,274,Role assignments are granted or revoked and may be inherited between groups and users and domains and projects,264,274,
101,actors,218,221,Users and user groups are the entities that give access to resources that are isolated in domains and projects. Groups are collection of users. Users are the individuals who use the cloud. Users and groups are collectively referred to as actors,196,221,
