Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,an important topic in cloud computing security.,30,35,an important topic in cloud computing security. The authentication process serves as a protection mechanism against different sorts of attacks.,30,43,
101,identity provider for customers.,473,476,Keystone acts as the identity provider for customers.,470,476,
101,an abstraction used by other open stack services to group and isolate resources such as servers and images.,80,93,a project is an abstraction used by other open stack services to group and isolate resources such as servers and images.,80,93,
101,to be the registry of projects,93,98,to be the registry of projects and to articulate who should have access to those projects.,93,102,
101,that the user or user group has some kind of access to resources in the project.,115,126,that the user or user group has some kind of access to resources in the project.,115,126,
101,"a collection of users, groups and projects.",138,143,"a collection of users, groups and projects.",138,143,204
101,"a collection of users, groups and projects.",138,143,"a collection of users, groups and projects. Domains enable the resources to be divided on the cloud into silos that can be used by organizations. A domain serves as a logical division between different portions of an enterprise. In short, a domain represents completely separate enterprises. For example, a cloud could have two domains. One of it, which would be occupied by the IBM organization and the other domain could be occupied by the Oracle organization. In the Ibms domain, IBM has its own collection of groups, users and project. So for the Oracle organizations, domain would have. What do we mean by actors?",138,195,204
101,Groups,204,207,"Groups are collection of users. Users are the individuals who use the cloud. Users and groups are collectively referred to as actors. As these are the entities to which the role is assigned to. Here we understand the diagrammatic representation between the domain, the users, groups",204,235,
101,collection of users.,207,209,"collection of users. Users are the individuals who use the cloud. Users and groups are collectively referred to as actors. As these are the entities to which the role is assigned to. Here we understand the diagrammatic representation between the domain, the users, groups and projects. So a domain would basically consist of users, groups and projects.",207,239,504 105
101,individuals who use the cloud.,210,215,Users are the individuals who use the cloud.,210,215,
101,users and groups in SQL.,447,453,the users and groups in SQL.,447,453,
101,actors.,218,221,collection of users. Users are the individuals who use the cloud. Users and groups are collectively referred to as actors.,207,221,105 504
101,Projects and domains,279,282,domains and projects. What are targets? Projects and domains,273,282,
101,What is a role?,246,249,What is a role? Roles are used in Keystone to convey authorization.,246,252,
101,A role assignment is a ternary or triple relationship.,254,262,"A role assignment is a ternary or triple relationship. The combination of an actor, a target and a role.",254,263,304
101,What are targets? Projects and domains,276,282,What are targets? Projects and domains are similar entities,276,282,
101,actors.,218,221,"actors. As these are the entities to which the role is assigned to. Here we understand the diagrammatic representation between the domain, the users, groups and projects. So a domain would basically consist of users, groups and projects.",218,239,
101,project,80,82,project is an abstraction used by other open stack services to group and isolate resources such as servers and images. The fundamental purpose of Keystone is to be the registry of projects and to articulate who should have access to those projects. Users or groups of users are given access to a project using the concept of role assignments.,80,111,
101,"What is a token? For a user to call an open stack API, they need to prove who they are and they should be allowed to call the API in question. This is achieved by passing an open stack token into the API call. Keystone",313,339,"What is a token? For a user to call an open stack API, they need to prove who they are and they should be allowed to call the API in question. This is achieved by passing an open stack token into the API call. Keystone",313,339,501
101,upon successful authentication against Keystone.,342,348,A user receives this token upon successful authentication against Keystone.,342,348,501
101,guaranteed to be,359,362,The token carries with it the authorization a user has on the cloud.,349,356,
101,both an ID and a payload.,354,359,A token has both an ID and a payload.,354,359,501
105,virtual data catalog,512,514,A collective app is nothing but something something like a virtual data catalog,507,514,101 403 204
101,the URLs and endpoints of different cloud services.,379,383,the URLs and endpoints of different cloud services.,379,383,403 103
202,single identity and single. Sign up across different types of systems on the cloud.,565,575,Federated identity management should allow establishing a single identity and single. Sign up across different types of systems on the cloud.,562,575,101
101,"SQL, LDAP, and Federated identity providers.",433,439,"Identities in the cloud may come from various locations such as SQL, LDAP, and Federated identity providers.",428,439,202 105 205
101,it is easy to set up and secondly management of users and groups.,489,496,it is easy to set up and secondly management of users and groups. Through OpenStack APIs is easy.,489,500,202
101,Keystone should not be an identity provider.,503,507,Keystone should not be an identity provider. Secondly. Keystone supports weak password. There is no password recovery or rotation.,503,521,202
101,lightweight directory access protocol. Keystone accesses the LDAP like any other application that uses the LDAP. The settings for connecting to the LDAP are specified in the keystones configuration file. The options include whether Keystone is able to write to LDAP or read the LDAP file. The advantages of the LDAP identity option are. There is no need to maintain copies of user accounts. Find Keystore does not act as an identity provider.,544,588,lightweight directory access protocol. Keystone accesses the LDAP like any other application that uses the LDAP. The settings for connecting to the LDAP are specified in the keystones configuration file. The options include whether Keystone is able to write to LDAP or read the LDAP file. The advantages of the LDAP identity option are. There is no need to maintain copies of user accounts. Find Keystore does not act as an identity provider.,544,588,
101,There is no need to maintain copies of user accounts.,574,580,There is no need to maintain copies of user accounts.,574,580,
101,the service accounts should be stored somewhere and the LDAP admin may not want these accounts in LDAP.,588,597,the service accounts should be stored somewhere and the LDAP admin may not want these accounts in LDAP.,588,597,
101,multiple identity backends.,622,626,Keystone supports multiple identity backends.,622,626,405
101,Federated identity providers.,436,439,"SQL, LDAP, and Federated identity providers.",433,439,202
