Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,an open source container orchestration framework,62,67,an open source container orchestration framework,62,67,103 207 107
101,google,67,70,open source container orchestration framework which was originally developed by google,62,70,103 207 107
101,google,67,70,open source container orchestration framework which was originally developed by google,62,70,103 107 207
101,keeps an overview of what's happening in the cluster,322,326,keeps an overview of what's happening in the cluster whether something needs to be repaired,322,329,406 105 103
101,scheduling containers,337,340,scheduling containers on different nodes based on the workload,337,343,406 407 201
101,helps you manage applications that are made up of hundreds or maybe thousands of containers,78,89,helps you manage applications that are made up of hundreds or maybe thousands of containers,78,89,103 107 207
101,hybrid,95,98,physical machines virtual machines or cloud environments or even hybrid,89,98,103 107 207
101,the rise of micro services,108,114,the rise of micro services cause,108,114,103 203 107
101,managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible,136,149,managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible,136,149,103 107 406
101,managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible,136,149,managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible,136,149,103 107 102
101,managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible,136,149,managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible,136,149,103 107 102
101,high availability,160,166,high availability in simple words high availability means that the application has no downtime so it's always accessible by the users,160,174,103 406 107
101,high availability,160,166,open source container orchestration framework which was originally developed by google so on the foundation it manages containers be docker containers or from some other technology which basically means that kubernetes helps you manage applications that are made up of hundreds or maybe thousands of containers and it helps you manage them in different environments like physical machines virtual machines or cloud environments or even hybrid deployment environments so what problems does kubernetes solve and what are the tasks of a container orchestration tool actually so to go through this chronologically the rise of micro services cause increased usage of container technologies because the containers actually offer the perfect host for small independent applications like Microsoft a nurse and the micro service technology actually resulted in applications that they're now comprised of hundreds or sometime maybe even thousands of containers now managing those loads of containers across multiple environments using scripts and self-made tools can be really complex and sometimes even impossible so that specific scenario actually caused the need for having container orchestration technologies so what those orchestration tools like kubernetes do is actually guarantee following features one is high availability,62,166,103 207 107
101,containerized application can run from the latest stayed after the recovery,205,213,disaster recovery which basically means that if an infrastructure has some problems like data is lost or the server's explode or something bad happens with the server center the infrastructure has to have some kind of mechanism to pick up the data and to restore it to the latest state so that application doesn't actually lose any data and the containerized application can run from the latest stayed after the recovery,186,213,103 207 107
101,master nodes and the slave nodes,22,24,what are the master nodes and the slave nodes,19,24,107 103 207
101,an open source container orchestration framework,62,67,an open source container orchestration framework which was originally developed by google,62,70,402 405 106
402,protocol,332,336,unique resource in the world and this part of the oil is the protocol,325,336,104 101 203
101,key value storage which basically holds at any time the current state of the kubernetes cluster,366,374,key value storage which basically holds at any time the current state of the kubernetes cluster so it has all the configuration data inside and all the status data of each node and each container inside of that node and the backup and restore that we mentioned previously is actually made from these etcd snapshots,366,390,207 401 102
101,etcd snapshots,387,390,etcd snapshots because you can recover the whole cluster state using that etcd snapshot,387,397,105 107 103
101,it assigns each pod its own IP address,555,562,it assigns each pod its own IP address so each pod is its own self containing server with its own IP address,555,567,207 404 401
101,a wrapper of a container,500,507,pod is basically a wrapper of a container,500,507,103 107 201
101,internal IP addresses,569,573,using that internal IP addresses,567,573,207 402 401
101,internal IP addresses,569,573,we using that internal IP addresses,567,573,207 402 405
101,it assigns each pod its own IP address,555,562,it assigns each pod its own IP address so each pod is its own self containing server with its own IP address,555,567,207 401 404
101,an alternative or a substitute to those IP addresses,648,656,an alternative or a substitute to those IP addresses,648,656,402 407 207
102,software is a collection of instructions data or computer programs that are used to run machines and carry out particular activities,59,68,software is a collection of instructions data or computer programs that are used to run machines and carry out particular activities,59,68,407 203 402
102,software development lifecycle,82,87,software development lifecycle it outlines the numerous steps needed in creating software to produce a high quality end product the stages of the sdlc encompass the entire life cycle of a piece of software from conception to retirement,82,100,201 401 203
102,it is impossible to detect the entry and exit criteria,142,147,it is impossible to detect the entry and exit criteria for a stage without a software lifecycle model,142,149,203 407 401
102,project development testing deployment and maintenance,168,175,creating or designing the software then project development testing deployment and maintenance,166,175,107 401 207
