Predicted_Video_ID,BestAnswer,BestAnswer_start,BestAnswer_end,LongAnswer,LongAnswer_start,LongAnswer_end,Related_Video_IDs
101,an open source container orchestration framework,62,67,problem solution case study of Cabezas basically why did kubernetes even come around and what problems does it solve we're gonna look at the basic architecture what are the master nodes and the slave nodes and what are the kubernetes processes that actually make up the platform mechanism then we going to see some basic concepts and the components of kubernetes which are pots and containers and services and what is the role of each one of those components and finally we going to look at a simple configuration that you as a kubernetes cluster user would use to create those components and configure the cluster to your needs so let's jump in right into the definition what is kubernetes so kubernetes is an open source container orchestration framework,8,67,
101,google,67,70,originally developed by google,67,70,
101,google,67,70,a kubernetes cluster user would use to create those components and configure the cluster to your needs so let's jump in right into the definition what is kubernetes so kubernetes is an open source container orchestration framework which was originally developed by google,42,70,
101,what is the role of each one of those components and finally we going to look at a simple configuration that you as a kubernetes cluster user,38,49,what is the role of each one of those components and finally we going to look at a simple configuration that you as a kubernetes cluster user would use to create those components and configure the cluster to your needs,38,60,
101,scheduling containers on different nodes based on the workload and the available server resources on each node,337,346,scheduling containers on different nodes based on the workload and the available server resources on each node,337,346,406
101,configure the cluster to your needs,49,60,we going to look at a simple configuration that you as a kubernetes cluster user would use to create those components and configure the cluster to your needs,40,60,
101,physical machines virtual machines or cloud environments,89,98,physical machines virtual machines or cloud environments or even hybrid deployment environments,89,101,103
101,rise of micro services,108,114,container orchestration tool actually so to go through this chronologically the rise of micro services,104,114,103
101,high availability,160,166,what those orchestration tools like kubernetes do is actually guarantee following features one is high availability,155,166,103
101,containers actually offer the perfect host for small independent applications,116,122,because the containers actually offer the perfect host for small independent applications,114,122,103
101,the containers actually offer the perfect host for small independent applications,114,122,the containers actually offer the perfect host for small independent applications,114,122,103
101,high availability,160,166,high availability in simple words high availability,160,169,103
101,pots and containers and services,34,38,the master nodes and the slave nodes and what are the kubernetes processes that actually make up the platform mechanism then we going to see some basic concepts and the components of kubernetes which are pots and containers and services,22,38,
101,pots and containers and services,34,38,master nodes and the slave nodes and what are the kubernetes processes that actually make up the platform mechanism then we going to see some basic concepts and the components of kubernetes which are pots and containers and services,22,38,
101,what are the master nodes and the slave nodes,19,24,what are the master nodes and the slave nodes and what are the kubernetes processes that actually make up the platform mechanism then we going to see some basic concepts and the components of kubernetes which are pots and containers and services and what is the role of each one of those components and finally we going to look at a simple configuration that you as a kubernetes cluster user would use to create those components and configure the cluster to your needs so let's jump in right into the definition what is kubernetes so kubernetes is an open source container orchestration framework,19,67,
101,an open source container orchestration framework,62,67,an open source container orchestration framework which was originally developed by google so on the foundation it manages containers be docker containers,62,75,
103,REST,435,437,REST API as that communication channel the dock a server then we'll check out the requests and the interaction necessary for it to be the docker daemon,435,447,401 402
101,key value storage,366,369,key value storage which basically holds at any time the current state of the kubernetes cluster,366,374,206 103 207
101,the containerized application can run from the latest stayed,205,211,application doesn't actually lose any data and the containerized application can run from the latest stayed,203,211,
101,kubernetes is an open source container orchestration framework,62,67,kubernetes cluster user would use to create those components and configure the cluster to your needs so let's jump in right into the definition what is kubernetes so kubernetes is an open source container orchestration framework,46,67,
101,a wrapper of a container,500,507,basically a wrapper of a container,500,507,
101,using that internal IP addresses,567,573,we using that internal IP addresses,567,573,
101,using that internal IP addresses,567,573,the way that they can communicate with each other is we using that internal IP addresses,564,573,
101,dispense the kubernetes cluster,549,555,dispense the kubernetes cluster so what that does is that it assigns each pod its own IP address so each pod is its own self containing server with its own IP address,549,567,207
101,IP address,679,682,an IP address so it's a permanent IP address,679,684,
102,a collection of instructions data or computer programs that are used to run machines and carry out particular activities it is the antithesis of hardware,59,71,a collection of instructions data or computer programs that are used to run machines and carry out particular activities it is the antithesis of hardware,59,71,202
102,software development lifecycle,82,87,software development lifecycle it outlines the numerous steps needed in creating software to produce a high quality end product the stages of the sdlc encompass the entire life cycle of a piece of software from conception to retirement following the sdlc process results in the software being developed in a controlled manner next we'll see the need of sdlc,82,110,
102,if the stage energy requirements have been met can a phase start,138,142,if the stage energy requirements have been met can a phase start therefore it is impossible to detect the entry and exit criteria for a stage,138,147,
102,the entire life cycle of a piece of software from conception to retirement,95,100,the stages of the sdlc encompass the entire life cycle of a piece of software from conception to retirement,91,100,
102,the stages of the sdlc encompass the entire life cycle of a piece of software from conception to retirement,91,100,the stages of the sdlc encompass the entire life cycle of a piece of software from conception to retirement,91,100,
102,numerous steps needed in creating software to produce a high quality end product,87,95,numerous steps needed in creating software to produce a high quality end product the stages of the sdlc encompass the entire life cycle of a piece of software from conception to retirement,87,100,
102,there is a signal set up for additional discussion,242,246,specific requirements such as what operations will be performed how they will be performed in what currency they will be performed etc once the necessary task has been completed the analysis of the viability of a product's growth is finished,228,245,
102,quality assurance,197,200,quality assurance and for the identification of project related risks,197,205,
